10,20,10,10
9,19,10,10
9,19,11,11
10,19,11,11
10,19,11,11
10,19,11,11
10,18,12,12
13,18,12,12
13,17,13,13
12,15,13,13
13,14,13,13
14,15,13,13
14,15,13,13
15,15,12,12
13,15,12,12
13,14,13,13
13,13,13,13
15,11,13,13
15,10,13,13
16,9,14,14
16,8,14,14
17,9,13,13
17,10,13,13
18,11,12,12
18,12,12,12
19,13,12,12
19,15,12,12
21,17,12,12
22,21,13,13
22,17,12,12
22,18,13,13
23,23,12,12
23,24,12,12
23,27,12,12
23,28,12,12
24,28,12,12
25,28,13,13
25,28,12,12
25,28,13,13
26,28,13,13
26,27,13,13
26,23,13,13
26,22,14,14
26,22,14,14
26,21,15,15
26,21,15,15
27,21,15,15
27,19,15,15
26,15,15,15
26,9,15,15
26,4,15,15
25,0,16,16
25,-1,16,16
25,-2,16,16
26,-2,15,15
26,-2,14,14
27,-1,14,14
28,1,14,14
28,1,14,14
28,-1,13,13
31,0,13,13
30,-1,14,14
31,0,14,14
31,0,14,14
31,0,14,14
31,-1,14,14
31,-1,14,14
31,-1,14,14
31,0,14,14
31,0,14,14
31,0,13,13
31,0,14,14
31,0,14,14
32,-1,14,14
32,-1,14,14
32,-2,14,14
32,-2,14,14
33,-2,13,13
33,-3,13,13
32,-2,12,12
31,-2,12,12
30,-1,12,12
29,-1,12,12
28,0,12,12
26,0,12,12
26,0,12,12
25,0,13,13
25,0,13,13
25,1,13,13
26,2,12,12
26,2,12,12
26,3,12,12
27,4,12,12
27,5,12,12
29,6,12,12
31,6,12,12
32,6,11,11
32,6,11,11
32,5,11,11
32,5,11,11
32,5,11,11
33,6,11,11
33,6,11,11
33,5,11,11
34,5,11,11
35,5,11,11
36,5,11,11
36,5,11,11
35,5,11,11
35,5,11,11
35,5,10,10
35,5,10,10
35,5,10,10
35,4,10,10
35,4,10,10
33,4,10,10
30,4,11,11
29,4,11,11
28,4,11,11
28,4,11,11
27,4,11,11
27,4,11,11
27,4,10,10
26,4,11,11
28,4,11,11
29,4,11,11
30,4,10,10
30,4,10,10
30,4,9,9
30,5,9,9
31,5,9,9
31,4,9,9
32,4,9,9
32,5,9,9
32,4,9,9
32,4,9,9
32,4,9,9
32,4,9,9
33,3,9,9
33,4,9,9
33,3,9,9
33,3,9,9
32,4,9,9
32,4,9,9
32,4,9,9
31,3,9,9
31,3,10,10
31,2,10,10
31,2,10,10
30,2,10,10
30,2,10,10
30,2,10,10
30,1,10,10
30,1,11,11
29,1,11,11
29,1,10,10
30,1,11,11
30,1,11,11
30,1,11,11
30,0,11,11
29,0,11,11
30,1,11,11
30,0,11,11
29,0,11,11
29,0,11,11
29,0,12,12
29,0,12,12
29,0,12,12
30,0,12,12
30,0,11,11
30,0,11,11
30,0,11,11
29,0,12,12
29,0,12,12
31,0,11,11
34,1,11,11
36,1,11,11
36,0,11,11
37,0,11,11
36,1,11,11
36,0,12,12
36,0,11,11
36,0,11,11
35,0,11,11
35,0,11,11
35,0,11,11
35,0,11,11
35,0,11,11
35,0,12,12
34,0,12,12
34,0,11,11
35,0,11,11
35,0,11,11
35,0,11,11
35,0,11,11
35,0,11,11
35,0,11,11
34,0,12,12
34,0,12,12
34,0,12,12
33,0,12,12
32,0,12,12
32,0,12,12
32,0,12,12
31,0,12,12
30,-1,12,12
30,-1,13,13
30,-1,13,13
29,-1,13,13
30,-1,13,13
31,-1,13,13
34,-1,13,13
38,-1,13,13
41,0,13,13
43,0,13,13
45,0,13,13
46,0,13,13
